Qty,Value,Link,Quantity Price,Total Item Price in RMB,Total Item Price in USD
77,1N4001 Diode,https://item.taobao.com/item.htm?ali_refid=a3_430008_1006%3A1256760039%3AN%3AUrH6wWfA9JaOqdvbbkemdw%3D%3D%3Aac852f84a5ddb011c0c889d4550c7625&ali_trackid=1_ac852f84a5ddb011c0c889d4550c7625&id=668246008591&mi_id=0000OIuEh6qvgEb5UNtWj0MfL-uEE3nIHtuqZkJ4CfQlqI8&mm_sceneid=1_0_697400171_0&priceTId=2100c89217796156957238776e0cda&skuId=4984446766435&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22d61da3de622c369c989a8dd6f947a640%22%7D&xxc=ad_ztc,0.03,2.31,0.3465
2,LED,https://item.taobao.com/item.htm?ali_refid=a3_430008_1006%3A1124502722%3AH%3AjFaNDoUzNY9VoRLGOmezNA%3D%3D%3A36dd7da80ac5a741d8252891407d112a&ali_trackid=318_36dd7da80ac5a741d8252891407d112a&id=674866929367&mi_id=0000zv7GMMmdEANV7Ry12GnPirb9y1TEiu_KKXkMbb0O2ac&mm_sceneid=0_0_112948305_0&priceTId=2100c89217796156896368614e0cda&skuId=5951794562656&spm=a21n57.1.hoverItem.6&utparam=%7B%22aplus_abtest%22%3A%220abc3e2f7771f2b748e88f49e3ddf11b%22%7D&xxc=ad_ztc,Not Appliable,3.77,0.5655
1,ESP32 S3 N16R8,https://item.taobao.com/item.htm?spm=a1z0d.6639537%2F202410.item.d810960494289.3d385886uS8Ouq&id=810960494289&from=cart&skuId=5838973348963&mi_id=0000gSRQrfpE3x3EQB7pX7_dEElSVHU1Lym2wDxxWHT4YeE&upStreamPrice=2430,24.3,24.3,3.645
1,4Inch TFT Screen,https://item.taobao.com/item.htm?spm=a1z0d.6639537%2F202410.item.d811840045954.3d385886uS8Ouq&id=811840045954&from=cart&skuId=5675825499909&mi_id=00001jRhFYuZEtOs3mFCP9Qj669Cq9dj2usuK6gGKK4s5o0&upStreamPrice=7542,75.62,75.62,11.343
1,Speaker,https://item.taobao.com/item.htm?ali_refid=a3_430008_1006%3A1422310143%3AH%3A%2FWxXF5KEPDBl3HD6bqPRiwI%2Fqz1PRZed%3A7e8e3f8b5423678a1f3602527d140b2b&ali_trackid=283_7e8e3f8b5423678a1f3602527d140b2b&id=889327946362&mi_id=0000KfCYVAKBkDPFdWEk_TIRsJP2s26MLFkTm8Ch3dcCHBo&mm_sceneid=1_0_1500450081_0&priceTId=2100c90417795207132815695e0cf9&skuId=5917293894029&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%2217b833b15ee66eaabd2b4353216af808%22%7D&xxc=ad_ztc,5,5,0.75
1,Battery 5V,https://item.taobao.com/item.htm?abbucket=20&id=892402646945&mi_id=00008PVZair30QEfFiEgqpUfwUhRiykNUhKd_J1pzu8Z_iA&ns=1&priceTId=2100cff417795213512193519e0d1d&skuId=5913134591213&spm=a21n57.1.hoverItem.11&utparam=%7B%22aplus_abtest%22%3A%22b225d9c1a26b6233dcdc5695b8bcce75%22%7D&xxc=taobaoSearch,13,13,1.95
77,KeyStroke,https://item.taobao.com/item.htm?id=626986550029&ns=1&abbucket=20&xxc=taobaoSearch&mi_id=00001AzkBH2Y6mf2UAsVoPl2Yo-nizI_ZfVivuzs_k1rHlY&skuId=6099202015970&priceTId=2100c89217796155795155970e0cda&utparam=%7B%22aplus_abtest%22%3A%224b89f9dd11147ebdcf805e058030ac28%22%7D&spm=a21n57.1.hoverItem.2,Not Appliable,32.4,4.86
77,KailH KeyStroke Holder,https://item.taobao.com/item.htm?abbucket=20&id=633674488792&mi_id=0000EcLjASGJDOVhDgCwXonmcVn_7DhIQvA_i6pgE-V9f7k&ns=1&priceTId=2100c89217796155518135303e0cda&skuId=4705875795040&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%2250427f98cd76d07d6895a495618ea2ec%22%7D&xxc=taobaoSearch,Not Appliable,15,2.25
,Sum Up,,,,25.71
,Estimated Cost with Transporting Cost,,,,30.852
